epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,31252.1,0.62948,0.34016,0.81575,0.92919,0.907,0.95303,0.74686,0.78347,0.40877,0.86912,6.2628e-05,6.2628e-05,6.2628e-05
72,31689.8,0.62239,0.33922,0.81408,0.92483,0.90804,0.95294,0.74745,0.78481,0.40868,0.87,6.06084e-05,6.06084e-05,6.06084e-05
73,32128.2,0.61708,0.33358,0.81425,0.93469,0.90101,0.9535,0.74786,0.78571,0.41149,0.87031,5.85888e-05,5.85888e-05,5.85888e-05
74,32566.2,0.61326,0.32897,0.80946,0.92795,0.90881,0.95405,0.74962,0.78626,0.41112,0.87115,5.65692e-05,5.65692e-05,5.65692e-05
75,33004.4,0.6058,0.32652,0.8119,0.92559,0.90446,0.95439,0.74895,0.78511,0.40809,0.87112,5.45496e-05,5.45496e-05,5.45496e-05
76,33442.4,0.60753,0.32895,0.81123,0.93075,0.89983,0.95455,0.75103,0.78547,0.41089,0.87135,5.253e-05,5.253e-05,5.253e-05
77,33880.4,0.59965,0.32237,0.81207,0.92785,0.90597,0.95377,0.74892,0.78508,0.41078,0.8711,5.05104e-05,5.05104e-05,5.05104e-05
78,34317.8,0.59608,0.31988,0.80793,0.92532,0.90579,0.95412,0.7506,0.78511,0.40874,0.87039,4.84908e-05,4.84908e-05,4.84908e-05
79,34756.5,0.59758,0.31827,0.80584,0.93445,0.89996,0.95468,0.75232,0.7838,0.4071,0.87052,4.64712e-05,4.64712e-05,4.64712e-05
80,35194.3,0.59678,0.32127,0.81048,0.92744,0.90599,0.95475,0.75182,0.78574,0.40784,0.87073,4.44516e-05,4.44516e-05,4.44516e-05
81,35632.3,0.59326,0.3162,0.807,0.92746,0.91242,0.95469,0.7525,0.78611,0.40702,0.87101,4.2432e-05,4.2432e-05,4.2432e-05
82,36070.1,0.58587,0.31342,0.80651,0.93177,0.9095,0.95626,0.75402,0.78495,0.40537,0.87148,4.04124e-05,4.04124e-05,4.04124e-05
83,36508.3,0.58802,0.3145,0.80994,0.93368,0.90321,0.95618,0.75341,0.78649,0.4052,0.87157,3.83928e-05,3.83928e-05,3.83928e-05
84,36953.1,0.58075,0.31314,0.80692,0.93105,0.90564,0.95526,0.75248,0.78775,0.40708,0.87251,3.63732e-05,3.63732e-05,3.63732e-05
85,37395.2,0.57678,0.307,0.8052,0.92657,0.9107,0.95531,0.75251,0.78802,0.40621,0.87304,3.43536e-05,3.43536e-05,3.43536e-05
86,37837.6,0.58256,0.30862,0.80792,0.92186,0.91409,0.95508,0.75268,0.78716,0.40583,0.87256,3.2334e-05,3.2334e-05,3.2334e-05
87,38278.9,0.57144,0.30656,0.80621,0.92728,0.91192,0.95581,0.75355,0.78791,0.40402,0.87322,3.03144e-05,3.03144e-05,3.03144e-05
88,38720.3,0.57305,0.3073,0.80639,0.91987,0.91781,0.95678,0.75442,0.78687,0.40203,0.87267,2.82948e-05,2.82948e-05,2.82948e-05
89,39162,0.57435,0.30365,0.805,0.91957,0.91889,0.95602,0.75414,0.78681,0.40088,0.87246,2.62752e-05,2.62752e-05,2.62752e-05
90,39602.9,0.56731,0.30164,0.80399,0.93006,0.91169,0.95622,0.75421,0.78772,0.4009,0.87333,2.42556e-05,2.42556e-05,2.42556e-05
91,40022.8,0.55698,0.28224,0.80392,0.92895,0.91071,0.95595,0.75331,0.7881,0.40422,0.87406,2.2236e-05,2.2236e-05,2.2236e-05
92,40441.8,0.54966,0.28116,0.80514,0.92653,0.90892,0.95554,0.75371,0.78981,0.406,0.87472,2.02164e-05,2.02164e-05,2.02164e-05
93,40861.5,0.54359,0.27671,0.80543,0.92609,0.91171,0.95594,0.75482,0.7904,0.40587,0.87467,1.81968e-05,1.81968e-05,1.81968e-05
94,41280.8,0.53955,0.27299,0.80205,0.93444,0.90172,0.95606,0.75518,0.78928,0.40552,0.87473,1.61772e-05,1.61772e-05,1.61772e-05
95,41699.4,0.536,0.27177,0.80237,0.93103,0.90343,0.95528,0.75504,0.78906,0.40678,0.8752,1.41576e-05,1.41576e-05,1.41576e-05
96,42115.2,0.53239,0.26864,0.80295,0.925,0.91033,0.95573,0.75424,0.79023,0.40703,0.87522,1.2138e-05,1.2138e-05,1.2138e-05
97,42530.5,0.53385,0.27097,0.80166,0.92881,0.90798,0.95569,0.75494,0.78931,0.40808,0.87504,1.01184e-05,1.01184e-05,1.01184e-05
98,42945.9,0.52906,0.26657,0.80061,0.93349,0.90316,0.95583,0.75476,0.7896,0.40752,0.87495,8.0988e-06,8.0988e-06,8.0988e-06
99,43360.7,0.52738,0.26987,0.80001,0.93138,0.90652,0.95585,0.75521,0.78993,0.40667,0.87522,6.0792e-06,6.0792e-06,6.0792e-06
100,43775.8,0.52872,0.26986,0.80431,0.93165,0.9065,0.95587,0.75498,0.79037,0.40713,0.8754,4.0596e-06,4.0596e-06,4.0596e-06
